,start_node,end_node,osmid,maxspeed,highway,surface,lanes,oneway,geometry,name,smoothness,living_street,service,length (m),length (km),capacity (veh/h),maxspeed (km/h),flow_time (h),flow_time (s)
12645,8927799319,352135,path_8927799319,,,,,,"LINESTRING (30.1462296 59.852024, 30.1470467 59.8519334)",,,,,,,,,,
12646,8927856473,352170,path_8927856473,,,,,,"LINESTRING (30.2082355 59.8336242, 30.2097537 59.8334757)",,,,,,,,,,
12647,8927869540,352202,path_8927869540,,,,,,"LINESTRING (30.1141798 59.8421793, 30.1141238 59.8437614)",,,,,,,,,,
12648,8927883985,353841,path_8927883985,,,,,,"LINESTRING (30.3175543 59.8646291, 30.3198435 59.8661426)",,,,,,,,,,
12649,8929543540,353843,path_8929543540,,,,,,"LINESTRING (30.3223944 59.9025913, 30.3224992 59.9027365)",,,,,,,,,,
12650,8933544950,451178,path_8933544950,,,,,,"LINESTRING (30.2908382 59.9430752, 30.2903092 59.9417264)",,,,,,,,,,
12651,8933583368,451185,path_8933583368,,,,,,"LINESTRING (30.287178 59.9399463, 30.2859719 59.9396796)",,,,,,,,,,
12652,8936072485,451187,path_8936072485,,,,,,"LINESTRING (30.5139726 59.8471097, 30.5113665 59.8392544)",,,,,,,,,,
12653,8936599474,451269,path_8936599474,,,,,,"LINESTRING (30.2564143 59.9368803, 30.2561333 59.9362822)",,,,,,,,,,
12654,8938849399,470206,path_8938849399,,,,,,"LINESTRING (30.3673949 59.9267695, 30.3670897 59.926538)",,,,,,,,,,
12655,8938849400,470208,path_8938849400,,,,,,"LINESTRING (30.3333619 59.9341062, 30.334601 59.9342758)",,,,,,,,,,
12656,8938849403,470214,path_8938849403,,,,,,"LINESTRING (30.2737079 59.9412234, 30.2736198 59.9415963)",,,,,,,,,,
12657,8938849404,470231,path_8938849404,,,,,,"LINESTRING (30.2493658 59.9115018, 30.2484599 59.9106185)",,,,,,,,,,
12658,8938849407,470238,path_8938849407,,,,,,"LINESTRING (30.116369 59.842061, 30.1141238 59.8437614)",,,,,,,,,,
12659,8938849408,470240,path_8938849408,,,,,,"LINESTRING (30.34183 59.937643, 30.3416776 59.9380554)",,,,,,,,,,
12660,8938849409,544924,path_8938849409,,,,,,"LINESTRING (30.2608054 59.8514771, 30.2575328 59.8519386)",,,,,,,,,,
12661,8938849411,545049,path_8938849411,,,,,,"LINESTRING (30.1432443 59.8521006, 30.1413636 59.8495906)",,,,,,,,,,
12662,8938849412,545058,path_8938849412,,,,,,"LINESTRING (30.4100597 59.7199963, 30.4098461 59.7205688)",,,,,,,,,,
12663,8938849413,581858,path_8938849413,,,,,,"LINESTRING (30.4563152 59.9015812, 30.4571328 59.9006681)",,,,,,,,,,
12664,8938849416,581859,path_8938849416,,,,,,"LINESTRING (30.5162038 59.8929615, 30.5169645 59.893019)",,,,,,,,,,
12665,8938851932,2329391,path_8938851932,,,,,,"LINESTRING (30.3502357 59.8377373, 30.3510286 59.8337875)",,,,,,,,,,
12666,8938875045,2330914,path_8938875045,,,,,,"LINESTRING (30.479795 59.900316, 30.4760543 59.8958873)",,,,,,,,,,
12667,8938889019,2384260,path_8938889019,,,,,,"LINESTRING (30.3038603 59.9215412, 30.3034096 59.9215632)",,,,,,,,,,
12668,8938889022,2384265,path_8938889022,,,,,,"LINESTRING (30.2796641 59.8891132, 30.2803328 59.8882584)",,,,,,,,,,
12669,8938889023,2384384,path_8938889023,,,,,,"LINESTRING (30.385534 59.92409, 30.3856125 59.9238126)",,,,,,,,,,
12670,8938889025,3603169,path_8938889025,,,,,,"LINESTRING (30.3123254 59.9048463, 30.3120008 59.9046208)",,,,,,,,,,
12671,8938908252,3603581,path_8938908252,,,,,,"LINESTRING (30.3919428 59.9054199, 30.3923583 59.9033137)",,,,,,,,,,
12672,8938908267,3603985,path_8938908267,,,,,,"LINESTRING (30.3919374 59.9054065, 30.3923583 59.9033137)",,,,,,,,,,
12673,8938908276,3604150,path_8938908276,,,,,,"LINESTRING (30.425579 59.86369, 30.4242327 59.8660398)",,,,,,,,,,
12674,8938914618,3604158,path_8938914618,,,,,,"LINESTRING (30.2255291 59.9301299, 30.2244337 59.9331029)",,,,,,,,,,
12675,8938914638,3604196,path_8938914638,,,,,,"LINESTRING (30.3129771 59.8319312, 30.3118969 59.8321086)",,,,,,,,,,
12676,8938914640,3604205,path_8938914640,,,,,,"LINESTRING (30.1910815 59.8240342, 30.193249 59.8235308)",,,,,,,,,,
12677,8938916234,3604256,path_8938916234,,,,,,"LINESTRING (30.4721311 59.7430313, 30.4714222 59.7435148)",,,,,,,,,,
12678,8938918031,3604257,path_8938918031,,,,,,"LINESTRING (30.3602833 59.9274204, 30.3595687 59.9284235)",,,,,,,,,,
12679,8938923821,3604315,path_8938923821,,,,,,"LINESTRING (30.4418037 59.8774247, 30.4428851 59.8772487)",,,,,,,,,,
12680,8938923914,3604321,path_8938923914,,,,,,"LINESTRING (30.3469393 59.9270145, 30.3463442 59.9277454)",,,,,,,,,,
12681,8938923919,3605548,path_8938923919,,,,,,"LINESTRING (30.3797238 59.8271618, 30.3803596 59.8294006)",,,,,,,,,,
12682,8938923920,3605604,path_8938923920,,,,,,"LINESTRING (30.360433 59.876288, 30.3617294 59.8750891)",,,,,,,,,,
12683,8938923921,3605636,path_8938923921,,,,,,"LINESTRING (30.3195007 59.9254605, 30.3185133 59.9269611)",,,,,,,,,,
12684,8938923924,3605637,path_8938923924,,,,,,"LINESTRING (30.377428 59.8299538, 30.3799327 59.8299191)",,,,,,,,,,
12685,8938923926,5031006,path_8938923926,,,,,,"LINESTRING (30.370476 59.882515, 30.3695754 59.8847937)",,,,,,,,,,
12686,8938923928,5035444,path_8938923928,,,,,,"LINESTRING (30.273495 59.9004143, 30.2738186 59.9004284)",,,,,,,,,,
12687,8938923929,5050541,path_8938923929,,,,,,"LINESTRING (30.269957 59.851376, 30.2700158 59.851921)",,,,,,,,,,
12688,8938923931,5508364,path_8938923931,,,,,,"LINESTRING (30.4378179 59.9330112, 30.436154 59.9336191)",,,,,,,,,,
12689,8938923932,7040162,path_8938923932,,,,,,"LINESTRING (30.4426056 59.8770868, 30.4428851 59.8772487)",,,,,,,,,,
12690,8938923933,7040240,path_8938923933,,,,,,"LINESTRING (30.2596226 59.8684262, 30.2596819 59.8700396)",,,,,,,,,,
12691,8938923934,7040644,path_8938923934,,,,,,"LINESTRING (30.2665155 59.8517181, 30.2665564 59.8519231)",,,,,,,,,,
12692,8938923935,7040919,path_8938923935,,,,,,"LINESTRING (30.2614734 59.8676493, 30.2615127 59.8654235)",,,,,,,,,,
12693,8938923943,7040920,path_8938923943,,,,,,"LINESTRING (30.1445237 59.849296, 30.1456384 59.8478302)",,,,,,,,,,
12694,8938925880,7041010,path_8938925880,,,,,,"LINESTRING (30.169219 59.790287, 30.1626265 59.7961822)",,,,,,,,,,
12695,8938926784,7665368,path_8938926784,,,,,,"LINESTRING (30.5029607 59.8310888, 30.5035294 59.8318044)",,,,,,,,,,
12696,8938926785,8087597,path_8938926785,,,,,,"LINESTRING (30.4472084 59.9125032, 30.4472705 59.9142034)",,,,,,,,,,
12697,8938926786,8087603,path_8938926786,,,,,,"LINESTRING (30.3204929 59.926502, 30.3198064 59.9276794)",,,,,,,,,,
12698,8938926789,8087604,path_8938926789,,,,,,"LINESTRING (30.3170997 59.8199815, 30.3151603 59.8179641)",,,,,,,,,,
12699,8938926790,10595110,path_8938926790,,,,,,"LINESTRING (30.4402453 59.9331239, 30.4411833 59.9331586)",,,,,,,,,,
12700,8938926793,10595354,path_8938926793,,,,,,"LINESTRING (30.420488 59.938254, 30.4199371 59.9385787)",,,,,,,,,,
12701,8938926795,10595381,path_8938926795,,,,,,"LINESTRING (30.5180587 59.8940639, 30.5169645 59.893019)",,,,,,,,,,
12702,8938926797,10595427,path_8938926797,,,,,,"LINESTRING (30.3795952 59.8292002, 30.3799347 59.829848)",,,,,,,,,,
12703,8938926810,15483827,path_8938926810,,,,,,"LINESTRING (30.3604388 59.9273532, 30.3595687 59.9284235)",,,,,,,,,,
12704,8938926849,15483878,path_8938926849,,,,,,"LINESTRING (30.6232578 59.7387221, 30.6177176 59.7417618)",,,,,,,,,,
12705,8938928469,15483879,path_8938928469,,,,,,"LINESTRING (30.3908631 59.861688, 30.3903297 59.8613141)",,,,,,,,,,
12706,8938928481,15483949,path_8938928481,,,,,,"LINESTRING (30.6128454 59.7357838, 30.6112429 59.7354215)",,,,,,,,,,
12707,8938928518,15484023,path_8938928518,,,,,,"LINESTRING (30.5050099 59.9161944, 30.5046824 59.9176005)",,,,,,,,,,
12708,8938928549,15484029,path_8938928549,,,,,,"LINESTRING (30.359984 59.943242, 30.3607099 59.9431056)",,,,,,,,,,
12709,8938928561,15484078,path_8938928561,,,,,,"LINESTRING (30.462556 59.877705, 30.4607175 59.8796585)",,,,,,,,,,
12710,8938928578,15484113,path_8938928578,,,,,,"LINESTRING (30.3789112 59.8578254, 30.3782927 59.8579636)",,,,,,,,,,
12711,8938928587,15484186,path_8938928587,,,,,,"LINESTRING (30.3373799 59.8236945, 30.3367305 59.8232055)",,,,,,,,,,
12712,8938928613,15484210,path_8938928613,,,,,,"LINESTRING (30.379577 59.802544, 30.381969 59.8021587)",,,,,,,,,,
12713,8938928653,15484379,path_8938928653,,,,,,"LINESTRING (30.3164104 59.8802729, 30.3189713 59.8821121)",,,,,,,,,,
12714,8938928732,15484441,path_8938928732,,,,,,"LINESTRING (30.3778315 59.9374071, 30.3777322 59.9376873)",,,,,,,,,,
12715,8938928739,15485077,path_8938928739,,,,,,"LINESTRING (30.3115851 59.9001439, 30.3119395 59.9005134)",,,,,,,,,,
12716,8938928763,15485084,path_8938928763,,,,,,"LINESTRING (30.3505307 59.8540108, 30.350871 59.8527915)",,,,,,,,,,
12717,8938928792,15485358,path_8938928792,,,,,,"LINESTRING (30.4643904 59.9010954, 30.4679039 59.9031101)",,,,,,,,,,
12718,8938928797,15485373,path_8938928797,,,,,,"LINESTRING (30.4051331 59.8576476, 30.4034882 59.8620466)",,,,,,,,,,
12719,8938928824,15485479,path_8938928824,,,,,,"LINESTRING (30.347913 59.944147, 30.3484782 59.9440515)",,,,,,,,,,
12720,8938928829,15485490,path_8938928829,,,,,,"LINESTRING (30.3261978 59.8266538, 30.3258527 59.8242139)",,,,,,,,,,
12721,8938928853,15485498,path_8938928853,,,,,,"LINESTRING (30.4079542 59.7382764, 30.406094 59.737955)",,,,,,,,,,
12722,8938928889,15485528,path_8938928889,,,,,,"LINESTRING (30.2333021 59.9429405, 30.2325027 59.9430402)",,,,,,,,,,
12723,8938928934,15485533,path_8938928934,,,,,,"LINESTRING (30.3579444 59.9171019, 30.3572779 59.9176332)",,,,,,,,,,
12724,8938928961,15485543,path_8938928961,,,,,,"LINESTRING (30.386071 59.86823, 30.3851009 59.866957)",,,,,,,,,,
12725,8938928966,15485670,path_8938928966,,,,,,"LINESTRING (30.3844821 59.9308086, 30.384568 59.9309036)",,,,,,,,,,
12726,8938929015,15485703,path_8938929015,,,,,,"LINESTRING (30.4646642 59.9190591, 30.4631088 59.9181484)",,,,,,,,,,
12727,8938929063,15499024,path_8938929063,,,,,,"LINESTRING (30.3191918 59.8500139, 30.3212303 59.8513983)",,,,,,,,,,
12728,8938929070,15503287,path_8938929070,,,,,,"LINESTRING (30.194675 59.8522, 30.1964129 59.8529123)",,,,,,,,,,
12729,8938929090,15503407,path_8938929090,,,,,,"LINESTRING (30.274626 59.890259, 30.274538 59.8897889)",,,,,,,,,,
12730,8938929109,15503471,path_8938929109,,,,,,"LINESTRING (30.322345 59.908001, 30.321248 59.908558)",,,,,,,,,,
12731,8938929111,15503520,path_8938929111,,,,,,"LINESTRING (30.207639 59.863586, 30.2068308 59.861214)",,,,,,,,,,
12732,8938929286,15503553,path_8938929286,,,,,,"LINESTRING (30.2369284 59.9375771, 30.237753 59.9378575)",,,,,,,,,,
12733,8938929321,15755810,path_8938929321,,,,,,"LINESTRING (30.4815486 59.7410419, 30.4830301 59.7416196)",,,,,,,,,,
12734,8938929353,15755829,path_8938929353,,,,,,"LINESTRING (30.1459779 59.8358878, 30.1466127 59.8354842)",,,,,,,,,,
12735,8938929366,15756593,path_8938929366,,,,,,"LINESTRING (30.344152 59.926071, 30.3450724 59.9250432)",,,,,,,,,,
