,id,y,x,street_count,lat,lon,geometry,highway,name,ref,zone
27926,8154394677,60.0703144,30.3165096,,60.0703144,30.3165096,POINT (30.3165096 60.0703144),,Dental Office,,58
27927,8154394678,60.0199764,30.3110969,,60.0199764,30.3110969,POINT (30.3110969 60.0199764),,CarPool,,110
27928,8154396825,60.0533972,30.3122932,,60.0533972,30.3122932,POINT (30.3122932 60.0533972),,Агастишваран,,59
27929,8154396826,60.0533784,30.3121859,,60.0533784,30.3121859,POINT (30.3121859 60.0533784),,Агастиар,,59
27930,8154398609,59.9741978,30.2587508,,59.9741978,30.2587508,POINT (30.2587508 59.9741978),,SB Burgers,,86
27931,8154398610,60.03268,30.2414641,,60.03268,30.2414641,POINT (30.2414641 60.03268),,SB Burgers,,110
27932,8154398613,59.9601345,30.3733725,,59.9601345,30.3733725,POINT (30.3733725 59.9601345),,Lee-vad.ru,,65
27933,8154400325,60.0922384,30.3788227,,60.0922384,30.3788227,POINT (30.3788227 60.0922384),,Lucky,,118
27934,8154400332,60.0068926,30.262624,,60.0068926,30.262624,POINT (30.262624 60.0068926),,Ast,,103
27935,8154420773,59.9781945,30.3265974,,59.9781945,30.3265974,POINT (30.3265974 59.9781945),,Кинг Авто,,53
27936,8154434488,59.9787649,30.3260154,,59.9787649,30.3260154,POINT (30.3260154 59.9787649),,Бургер Кинг,,53
27937,8154442198,59.9462398,30.3428113,,59.9462398,30.3428113,POINT (30.3428113 59.9462398),,Бурлящий котёл,,101
27938,8154444861,60.0056469,30.3004324,,60.0056469,30.3004324,POINT (30.3004324 60.0056469),,marmalato,,105
27939,8154447094,60.0426692,30.3177837,,60.0426692,30.3177837,POINT (30.3177837 60.0426692),,Еаптека,,59
27940,8154454887,59.9878111,30.3541042,,59.9878111,30.3541042,POINT (30.3541042 59.9878111),,Weekend Max Mara,,53
27941,8154459970,60.0073337,30.2601054,,60.0073337,30.2601054,POINT (30.2601054 60.0073337),,Marmalato,,103
27942,8154467732,60.0073444,30.2601027,,60.0073444,30.2601027,POINT (30.2601027 60.0073444),,Etam,,103
27943,8154470884,60.0922303,30.3804347,,60.0922303,30.3804347,POINT (30.3804347 60.0922303),,Etam,,118
27944,8154470885,60.0056509,30.3004298,,60.0056509,30.3004298,POINT (30.3004298 60.0056509),,Etam,,105
27945,8154470888,59.9876595,30.3543448,,59.9876595,30.3543448,POINT (30.3543448 59.9876595),,Etam,,53
27946,8154721184,59.9775069,30.3471025,,59.9775069,30.3471025,POINT (30.3471025 59.9775069),,Минимаркет,,65
27947,8158113084,59.9954643,30.1991806,,59.9954643,30.1991806,POINT (30.1991806 59.9954643),,Юнифарм,,104
27948,8165578050,59.9503217,30.2336279,,59.9503217,30.2336279,POINT (30.2336279 59.9503217),,Главпиво,,52
27949,8165578052,59.9495346,30.2331687,,59.9495346,30.2331687,POINT (30.2331687 59.9495346),,Инвитро,,52
27950,8168379982,60.0061763,30.1981732,,60.0061763,30.1981732,POINT (30.1981732 60.0061763),,Аркадия,,104
27951,8170969885,60.030493,30.4515624,,60.030493,30.4515624,POINT (30.4515624 60.030493),,Продукты,,75
27952,8174731528,60.0083773,30.4492474,,60.0083773,30.4492474,POINT (30.4492474 60.0083773),,,,75
27953,8174731529,60.0090349,30.4528805,,60.0090349,30.4528805,POINT (30.4528805 60.0090349),,Минимаркет,,75
27954,8174731532,60.0016047,30.4465978,,60.0016047,30.4465978,POINT (30.4465978 60.0016047),,,,75
27955,8174731533,59.9803984,30.4598391,,59.9803984,30.4598391,POINT (30.4598391 59.9803984),,,,77
27956,8174731535,59.9696721,30.4559801,,59.9696721,30.4559801,POINT (30.4559801 59.9696721),,,,77
