,element_type,osmid,geometry,name,amenity,landuse,shop
201,node,648312470,POINT (30.3278605 59.8547941),Blues and Jeans,,,clothes
202,node,648312473,POINT (30.3293176 59.8538749),Продукты,,,convenience
203,node,648467315,POINT (30.3251952 59.8552166),Дикси,,,supermarket
204,node,648467356,POINT (30.30855 59.8513847),Перекрёсток,,,supermarket
205,node,648495358,POINT (30.3207201 59.8545545),Счастливый взгляд,bank,,optician
206,node,648541971,POINT (30.3266199 59.8507175),Пандент,dentist,,
207,node,648541982,POINT (30.3302022 59.8535765),Продукты,,,convenience
208,node,648541985,POINT (30.3305566 59.8518604),Озерки,pharmacy,,
209,node,649181703,POINT (30.5919925 59.7456788),Магнит,,,supermarket
210,node,649201010,POINT (30.5952115 59.7494456),Колпинский психоневрологический диспансер,doctors,,
211,node,649201015,POINT (30.595274 59.7494948),Колпинский противотуберкулезный диспансер № 4,hospital,,
212,node,649226061,POINT (30.5820126 59.7424461),Дикси,,,supermarket
213,node,649226110,POINT (30.5906595 59.7493564),,cafe,,
214,node,649226202,POINT (30.6046295 59.7490916),Ижора,restaurant,,
215,node,649245201,POINT (30.5918803 59.7453391),,,,car_repair
216,node,649294052,POINT (30.6034783 59.7485502),,,,car_repair
217,node,649354233,POINT (30.4119588 59.9281909),Росбанк,bank,,
218,node,649402639,POINT (30.5821012 59.7426301),Сбербанк,bank,,
219,node,649569494,POINT (30.5675259 59.7480903),Пятёрочка,,,supermarket
220,node,649569622,POINT (30.5682017 59.7422337),,,,convenience
221,node,649602650,POINT (30.3249323 59.8436486),Промсвязьбанк,bank,,
222,node,649783626,POINT (30.6126364 59.7470426),Дикси,,,supermarket
223,node,649844838,POINT (30.5917366 59.7411197),Верный,,,supermarket
224,node,649856493,POINT (30.5818431 59.735425),z24,,,car_repair
225,node,649864405,POINT (30.5828943 59.7443644),Центральная районная библиотека им. М.А.Светлова,library,,
226,node,650026783,POINT (30.1253959 59.7727301),Teboil,fuel,,
227,node,651391433,POINT (30.4464687 59.8757977),Пятёрочка,,,supermarket
228,node,651508033,POINT (30.3274331 59.8405598),,,,car_parts
229,node,651661475,POINT (30.3286916 59.8398152),Лилак,restaurant,,
230,node,651661478,POINT (30.3291796 59.8397995),Семишагофф,,,supermarket
231,node,651661492,POINT (30.3307833 59.8390122),Пятёрочка,,,supermarket
232,node,651661522,POINT (30.3343035 59.8367764),,,,alcohol
233,node,651661523,POINT (30.3345735 59.8366331),Транзит,,,car_parts
234,node,651661535,POINT (30.3376792 59.8350133),ТракTir,,,car_parts
235,node,651661567,POINT (30.3336094 59.8371801),Евразия,restaurant,,
236,node,652383850,POINT (30.3263577 59.9364198),Feromon,cafe,,
237,node,652669542,POINT (30.2730942 59.9329721),il Konti,restaurant,,
238,node,652699378,POINT (30.2711543 59.9346832),Пятёрочка,,,supermarket
239,node,653733612,POINT (30.3475943 59.8304692),,car_wash,,
240,node,653733629,POINT (30.3489127 59.8306121),,car_wash,,
241,node,654105840,POINT (30.3668044 59.930377),Север-Метрополь,cafe,,confectionery
242,node,655120339,POINT (30.375482 59.9269396),The Game of Swords,bar,,
243,node,655184412,POINT (30.3543602 59.9253802),Mr. Toad,bar,,
244,node,655250863,POINT (30.4578041 59.8801655),Суши Те Вёсла,restaurant,,
245,node,655255171,POINT (30.4567898 59.8799402),Радуга,pharmacy,,
246,node,655389498,POINT (30.3480831 59.8314084),Вкусно — и точка,fast_food,,
247,node,659748436,POINT (30.3175466 59.840657),Пулковский,,,supermarket
248,node,664074341,POINT (30.30817 59.8508285),Столовая,fast_food,,
249,node,665099522,POINT (30.3186584 59.922859),Sky-Bar,bar,,
250,node,665100248,POINT (30.3135304 59.9260768),Рим,restaurant,,
251,node,667322125,POINT (30.3110483 59.9334162),Центральная городская детская библиотека имени А. С. Пушкина,library,,
252,node,667582359,POINT (30.4235541 59.9254723),Пятёрочка,,,supermarket
253,node,667604475,POINT (30.4152703 59.9265595),Пятёрочка,,,supermarket
254,node,667605224,POINT (30.4138723 59.9273161),Озерки,pharmacy,,
255,node,667791187,POINT (30.4258663 59.9255435),Гранд маркет,,,convenience
256,node,668847214,POINT (30.4035104 59.8637767),Carl's Jr.,fast_food,,
257,node,668881336,POINT (30.2675168 59.8785362),Первая помощь,pharmacy,,
258,node,668991894,POINT (30.4309246 59.9254735),,car_wash,,
259,node,669005627,POINT (30.4021952 59.9272079),,,,car_repair
260,node,669025974,POINT (30.4045391 59.939004),Z24,,,car_parts
261,node,669043486,POINT (30.4107178 59.9294903),Британские пекарни,cafe,,
262,node,669970847,POINT (30.3534871 59.8535136),Бриз,,,supermarket
263,node,672653447,POINT (30.1565101 59.8285718),Пятёрочка,,,supermarket
264,node,672734835,POINT (30.1483719 59.8328759),ПиратХаус,bar,,
265,node,672734836,POINT (30.1476788 59.8325914),Магнит,,,supermarket
266,node,673957203,POINT (30.2567395 59.8522938),Buona Cucina,cafe,,
267,node,676233405,POINT (30.5606386 59.7386556),Горздрав,pharmacy,,
268,node,676237620,POINT (30.3249858 59.8198967),Green Light,,,convenience
269,node,676666713,POINT (30.4062835 59.9339735),Кожно-венерологический диспансер №8,clinic,,
270,node,676710157,POINT (30.3283454 59.9335356),Толстый фраер,pub,,
271,node,676832430,POINT (30.3247488 59.8212288),Автосалон Volvo,,,car
272,node,676832438,POINT (30.3245654 59.8216573),Автосалон LandRover,,,car
273,node,676832440,POINT (30.3245914 59.8213461),Автосалон Jaguar,,,car
274,node,677780601,POINT (30.3992868 59.8284075),Венера,,,beauty
275,node,677780603,POINT (30.3992426 59.8287798),Петербургские аптеки,pharmacy,,
276,node,677780632,POINT (30.399494 59.8290894),Вкус Пива,bar,,
277,node,677780636,POINT (30.3990923 59.8283469),Продукты,,,convenience
278,node,679133390,POINT (30.4382077 59.88379),Айс-Град,cafe,,
279,node,680275479,POINT (30.4084304 59.8448614),Дикси,,,supermarket
280,node,682344129,POINT (30.3358238 59.9230616),KwakInn,pub,,
281,node,682347591,POINT (30.3476907 59.9381167),Толстый фраер,pub,,
282,node,684148038,POINT (30.2988294 59.8395118),Гранд-Кафе,cafe,,
283,node,684148049,POINT (30.2993788 59.8394129),Санкт-Петербург,bank,,
284,node,684148051,POINT (30.2990941 59.8396238),,car_wash,,
285,node,687452205,POINT (30.4455096 59.8980741),Газпромнефть,fuel,,
286,node,690561904,POINT (30.3262722 59.8412964),Библиотека-филиал №2 «Юбилейная» ЦБС Московского района,library,,
287,node,693206587,POINT (30.3377731 59.934574),Rostic`s,fast_food,,
288,node,694827419,POINT (30.345569 59.9428294),Петербургские аптеки,pharmacy,,
289,node,694827421,POINT (30.3479121 59.9427225),Озерки,pharmacy,,
290,node,698980342,POINT (30.2440353 59.8660948),ПТК,fuel,,
291,node,701604257,POINT (30.2204723 59.9027986),Санкт-Петербург 198184,post_office,,
292,node,701604259,POINT (30.2201925 59.9033459),РеалЪ,,,supermarket
293,node,702594826,POINT (30.3808394 59.9250262),ВТБ,bank,,
294,node,703077434,POINT (30.241709 59.8683663),Кансай-моторз,,,car_repair
295,node,703222054,POINT (30.213377 59.8986312),Магнит,,,supermarket
296,node,704377012,POINT (30.2686674 59.8743896),Бриз,,,supermarket
297,node,712052566,POINT (30.343701 59.9290373),Фартук,cafe,,
298,node,713323223,POINT (30.3440722 59.9266677),Хванчкара,restaurant,,
299,node,713547585,POINT (30.2679437 59.8523086),Rostic`s,fast_food,,
300,node,713550720,POINT (30.2683088 59.8494025),Перекрёсток,,,supermarket
301,node,730919498,POINT (30.317303 59.9272848),Checafe,fast_food,,
302,node,739416540,POINT (30.4501295 59.9242609),Дикси,,,supermarket
303,node,739416809,POINT (30.4529942 59.9235465),Магнит,,,supermarket
304,node,744598501,POINT (30.6078084 59.7527588),Гостоэко,car_wash,,
305,node,750729391,POINT (30.3482103 59.9329804),Шаверма,fast_food,,
306,node,762745316,POINT (30.2481551 59.8584941),Билл Хук,pub,,
307,node,763029408,POINT (30.3072367 59.9243158),Сбербанк,bank,,
308,node,767060737,POINT (30.24987 59.851202),Моменты,restaurant,,
309,node,768273680,POINT (30.4925222 59.8402337),Здоровье,pharmacy,,
310,node,768275403,POINT (30.4957171 59.8392936),Би-Би,,,car_parts
311,node,768846286,POINT (30.4894753 59.8929547),Би-Би,,,car_parts
312,node,773265705,POINT (30.2792329 59.8897869),,fast_food,,
313,node,773572442,POINT (30.223042 59.8276711),Бриз,,,convenience
314,node,773932360,POINT (30.3164333 59.9259841),Coffeeshop Company,cafe,,
315,node,773932371,POINT (30.3135508 59.9251553),Ароматный мир,,,alcohol
316,node,774487958,POINT (30.4323549 59.9307347),Сбербанк,bank,,
317,node,774487968,POINT (30.4312076 59.9305702),Движком,,,car_parts
318,node,774487970,POINT (30.4339212 59.9302569),Доктор Столетов,pharmacy,,
319,node,774981910,POINT (30.3353547 59.9352302),Бюро,bar,,
320,node,774981914,POINT (30.3357311 59.9359903),Avocado Queen,restaurant,,
321,node,774981918,POINT (30.3357349 59.935029),Madagascar,restaurant,,
322,node,775649975,POINT (30.5046903 59.8316596),Теремок,fast_food,,
323,node,775650455,POINT (30.5054052 59.8322177),Санкт-Петербург,bank,,
324,node,775650456,POINT (30.5063395 59.8324421),ВкусВилл,,,convenience
325,node,775657521,POINT (30.5070632 59.8329921),Пятёрочка,,,supermarket
326,node,777933803,POINT (30.2169461 59.8278115),Лекрус,pharmacy,,
327,node,778497682,POINT (30.4310874 59.9254245),,,,car_repair
328,node,779152145,POINT (30.4998777 59.8391568),Рыбацкая библиотека № 6,library,,
329,node,781516831,POINT (30.3509324 59.8357998),,pharmacy,,
330,node,788069565,POINT (30.4148828 59.8330635),Вкусно — и точка,fast_food,,
331,node,788355161,POINT (30.4275046 59.7238865),,,,convenience
