field_1,element_type,osmid,name,amenity,landuse,shop,zone,field_1_2,start_node,end_node,osmid_2,maxspeed,lanes,highway,surface,oneway,name_2,smoothness,living_street,service,length (m),length (km),capacity (veh/h),maxspeed (km/h),flow_time (h),flow_time (s),distance
"93",node,"487274925",РеалЪ,,,supermarket,"43","11152","1559587125","1668241063",,,"2","[ ""tertiary"" ]","[ ""asphalt"" ]","1","[ ""площадь Тургенева"" ]",,,,127.658,0.127658,"3600","60",0.00212763333333333,7.65948,0.000122402220416535
"97",node,"490670904",Семишагофф,,,supermarket,"0","17537","3488417575","3488417573",,,"2","[ ""tertiary"" ]","[ ""asphalt"" ]","1","[ ""улица Веры Слуцкой"" ]",,,,117.034,0.117034,"3600","60",0.00195056666666667,7.02204,0.00110913935252311
"98",node,"497695708",Мисо,restaurant,,,"97","20287","5001881585","856349454",,,"1","[ ""residential"" ]","[ ""asphalt"" ]","1","[ ""6-я Советская улица"" ]",,,,72.834,0.072834,"1800","60",0.0012139,4.37004,8.88748447770198e-05
"99",node,"505073897",Fit Service,,,car_repair,"91","10494","1461378728","537497803",,,"3","[ ""secondary"" ]","[ ""asphalt"" ]","1","[ ""Бухарестская улица"" ]","[ ""excellent"" ]",,,886.789,0.886789,"4000","60",0.0147798166666667,53.20734,0.00038023872335302
"100",node,"505178524",Перекрёсток,pub,,,"96","1966","26058076","26058015",,,"1","[ ""residential"" ]","[ ""asphalt"" ]","1",,,,,436.399,0.436399,"1800","60",0.00727331666666667,26.18394,0.00116837114131796
"103",node,"505178543",,bank,,,"96","1966","26058076","26058015",,,"1","[ ""residential"" ]","[ ""asphalt"" ]","1",,,,,436.399,0.436399,"1800","60",0.00727331666666667,26.18394,0.000510439873375899
"104",node,"505178561",Дикси,,,supermarket,"96","1966","26058076","26058015",,,"1","[ ""residential"" ]","[ ""asphalt"" ]","1",,,,,436.399,0.436399,"1800","60",0.00727331666666667,26.18394,0.000647336944505412
"105",node,"507091462",Grand Империал,cafe,,,"6","13859","1834086384","1533334337",,,"2","[ ""residential"" ]","[ ""asphalt"" ]","0","[ ""Смоленская улица"" ]","[ ""good"" ]",,,448.774,0.448774,"1800","60",0.00747956666666667,26.92644,8.04567137204473e-05
"108",node,"510432203",Оба два,restaurant,,,"97","24437","10180535017","10180391212",,,"2","[ ""tertiary"" ]","[ ""asphalt"" ]","1","[ ""улица Некрасова"" ]","[ ""excellent"" ]",,,167.62,0.16762,"3600","60",0.00279366666666667,10.0572,7.78411822751578e-05
"110",node,"517517766",Munhell,restaurant,,,"29","3360","259688731","259688613",,,"1","[ ""residential"" ]","[ ""asphalt"" ]","1",,,,,416.772,0.416772,"1800","60",0.0069462,25.00632,0.000602346758358403
"112",node,"522606825",Пятёрочка,,,supermarket,"96","18319","3707242840","3707242842",,,"2","[ ""tertiary"" ]","[ ""asphalt"" ]","1","[ ""Пражская улица"" ]",,,,84.824,0.084824,"3600","60",0.00141373333333333,5.08944,0.000454718146278541
"113",node,"522606826",Горные вершины,pharmacy,,,"96","1966","26058076","26058015",,,"1","[ ""residential"" ]","[ ""asphalt"" ]","1",,,,,436.399,0.436399,"1800","60",0.00727331666666667,26.18394,0.000727468676166729
"115",node,"522606830",,pharmacy,,,"96","1966","26058076","26058015",,,"1","[ ""residential"" ]","[ ""asphalt"" ]","1",,,,,436.399,0.436399,"1800","60",0.00727331666666667,26.18394,0.00103686161021798
"116",node,"522606978",,pub,,,"96","3406","267276592","5865394434",,,"2","[ ""residential"" ]","[ ""asphalt"" ]","1","[ ""улица Турку"" ]",,,,121.555,0.121555,"3600","60",0.00202591666666667,7.2933,0.000197951404466021
"117",node,"522635680",Шаверлэнд,fast_food,,,"96","114","244274","353747146",,,"4","[ ""primary"" ]","[ ""asphalt"" ]","1","[ ""проспект Славы"" ]","[ ""excellent"" ]",,,103.448,0.103448,"8800","60",0.00172413333333333,6.20688,0.000217724855548942
