name_1,geometry
Пятёрочка,"LINESTRING (30.3305281 59.8472275, 30.330231803862638 59.847210305309815)"
PulkoffClub,"LINESTRING (30.3305132 59.8474233, 30.330220429302685 59.847406309898545)"
Фармакор,"LINESTRING (30.4614602 59.9124835, 30.460961873451662 59.9120180985986)"
Петербургские аптеки,"LINESTRING (30.4788423 59.9096801, 30.47909645190228 59.90995920496956)"
Удачная аптека,"LINESTRING (30.4782404 59.9103627, 30.478427589695794 59.91056826829942)"
Фермер,"LINESTRING (30.4798804 59.883161, 30.47982375707639 59.88351076536505)"
Петербургские аптеки,"LINESTRING (30.4814132 59.8836698, 30.481397676785548 59.88376565456439)"
Лев,"LINESTRING (30.4841741 59.8840723, 30.484151536187273 59.88421162967603)"
Marco Polo,"LINESTRING (30.3302258 59.8531955, 30.32989871899596 59.85316680633427)"
Ашан,"LINESTRING (30.3508704 59.8692524, 30.3518165 59.8706466)"
Ашан,"LINESTRING (30.3508704 59.8692524, 30.3518165 59.8706466)"
Продукты,"LINESTRING (30.4739986 59.9433448, 30.47388644638229 59.943778894173)"
Продукты,"LINESTRING (30.4739986 59.9433448, 30.47388644638229 59.943778894173)"
Евразия,"LINESTRING (30.473551 59.9475457, 30.47362355558228 59.94727107903753)"
Градусы,"LINESTRING (30.4691378 59.9464091, 30.469213297038184 59.94611914809197)"
Верный,"LINESTRING (30.469366 59.9464996, 30.4694490762038 59.94618053975098)"
Женская консультация № 16,"LINESTRING (30.2745755 59.9376091, 30.274695990098202 59.93774910967826)"
,"LINESTRING (30.4075562 59.8360448, 30.40734673423735 59.83686315522906)"
Пятёрочка,"LINESTRING (30.3980625 59.8284987, 30.397639757670827 59.82807077888548)"
Пятёрочка,"LINESTRING (30.2904344 59.8120158, 30.2941142 59.8133316)"
Пятёрочка,"LINESTRING (30.2904344 59.8120158, 30.2941142 59.8133316)"
,"LINESTRING (30.3525082 59.8732496, 30.352526262595468 59.87311161864438)"
Ромашка,"LINESTRING (30.4663315 59.866508, 30.466441508070197 59.866639912454886)"
Алоэ,"LINESTRING (30.314548 59.862609, 30.31422109616738 59.862590556185054)"
В шоколаде,"LINESTRING (30.3787712 59.8554385, 30.378680175489652 59.855957719750215)"
Озерки,"LINESTRING (30.3794036 59.8556815, 30.379335049198076 59.85607252578104)"
Пятёрочка,"LINESTRING (30.2234066 59.8562287, 30.224756697933557 59.85424186044425)"
"Одежда, Обувь, Сумки","LINESTRING (30.477261 59.8830466, 30.477253245624468 59.88309448262708)"
Ажур,"LINESTRING (30.4753903 59.8826794, 30.47537240676338 59.88278988925513)"
Пятёрочка,"LINESTRING (30.31305 59.8687791, 30.313828278595032 59.86882197326396)"
Пятёрочка,"LINESTRING (30.31305 59.8687791, 30.313828278595032 59.86882197326396)"
Газпромбанк,"LINESTRING (30.3725092 59.8555305, 30.372532832501953 59.85534605249865)"
Пятёрочка,"LINESTRING (30.3821077 59.8527835, 30.382400091417637 59.853055576314055)"
Горздрав,"LINESTRING (30.387962 59.8491209, 30.388056643980594 59.84875144475863)"
Райффайзен,"LINESTRING (30.3217891 59.9253529, 30.321708824357444 59.9252066844834)"
ВТБ,"LINESTRING (30.325295 59.85308, 30.32529035016284 59.853399897651734)"
Петербургские аптеки,"LINESTRING (30.3250023 59.8537618, 30.325007620126325 59.85339578806036)"
Профи Клиник,"LINESTRING (30.3268314 59.8536827, 30.326835184253667 59.85342235241787)"
Blues and Jeans,"LINESTRING (30.3278605 59.8547941, 30.327858110456344 59.85496428751216)"
Дикси,"LINESTRING (30.3251952 59.8552166, 30.325197574228348 59.85504763783071)"
Перекрёсток,"LINESTRING (30.30855 59.8513847, 30.308543602827683 59.85189142527064)"
Магнит,"LINESTRING (30.5919925 59.7456788, 30.59232107220171 59.74594900740272)"
Дикси,"LINESTRING (30.5820126 59.7424461, 30.581608999935042 59.74262421385106)"
Дикси,"LINESTRING (30.5820126 59.7424461, 30.581608999935042 59.74262421385106)"
Ижора,"LINESTRING (30.6046295 59.7490916, 30.60465446174326 59.74934072499474)"
Ижора,"LINESTRING (30.6046295 59.7490916, 30.60465446174326 59.74934072499474)"
,"LINESTRING (30.5918803 59.7453391, 30.592258175572223 59.74518033164978)"
,"LINESTRING (30.6034783 59.7485502, 30.603568412232917 59.749449544621896)"
