geometry,element_type,osmid,name,amenity,landuse,shop,zone,field_1_2,start_node,end_node,osmid_2,maxspeed,lanes,highway,surface,oneway,name_2,smoothness,living_street,service,length (m),length (km),capacity (veh/h),maxspeed (km/h),flow_time (h),flow_time (s),distance
"LINESTRING (30.4607617 59.8799689, 30.460755627525455 59.87993045956482)",node,442971447,Диета 18,,,supermarket,23.0,15304,2153538989,649229893,,,1,"[ ""residential"" ]","[ ""asphalt"" ]",1,,,,,103.502,0.103502,1800,60,0.0017250333333333,6.21012,3.89171171104003e-05
"LINESTRING (30.468618 59.9119574, 30.468766167017716 59.91132969443796)",node,443212284,Камелот,pub,,,29.0,25071,10242568363,10242568366,,,2,"[ ""tertiary"" ]","[ ""asphalt"" ]",1,"[ ""улица Подвойского"" ]",,,,104.205,0.104205,3600,60,0.00173675,6.2523,0.0006449556091339
"LINESTRING (30.1972395 59.8531685, 30.19718304700522 59.852924687844684)",node,444551814,Технолог,,,convenience,14.0,3334,258771363,258771362,,,2,"[ ""secondary"" ]","[ ""asphalt"" ]",1,"[ ""улица Маршала Захарова"" ]",,,,162.037,0.162037,3600,60,0.0027006166666666,9.72222,0.0002502624776122
"LINESTRING (30.5114679 59.804386, 30.51159544718756 59.804584261821034)",node,444685619,Продукты,,,convenience,5.0,4433,416865232,416865233,,,1,"[ ""tertiary"" ]","[ ""asphalt"" ]",0,"[ ""Советский проспект"" ]",,,,100.762,0.100762,1800,60,0.0016793666666666,6.04572,0.0002357456992905
"LINESTRING (30.5114679 59.804386, 30.51159544718756 59.804584261821034)",node,444685619,Продукты,,,convenience,5.0,4436,416865233,416865232,,,1,"[ ""tertiary"" ]","[ ""asphalt"" ]",0,"[ ""Советский проспект"" ]",,,,100.762,0.100762,1800,60,0.0016793666666666,6.04572,0.0002357456992905
"LINESTRING (30.3236834 59.9336636, 30.323714149919837 59.9338323041347)",node,444776751,Альфа-Банк,bank,,,102.0,16531,2484899360,6989535865,,,2,"[ ""residential"" ]","[ ""asphalt"" ]",0,"[ ""Казанская площадь"" ]",,,,127.276,0.127276,1800,60,0.0021212666666666,7.63656,0.0001714836512115
"LINESTRING (30.3236834 59.9336636, 30.323714149919837 59.9338323041347)",node,444776751,Альфа-Банк,bank,,,102.0,22405,6989535865,2484899360,,,2,"[ ""residential"" ]","[ ""asphalt"" ]",0,"[ ""Казанская площадь"" ]",,,,127.276,0.127276,1800,60,0.0021212666666666,7.63656,0.0001714836512115
"LINESTRING (30.3570423 59.9255014, 30.35722683335396 59.92537746770537)",node,444776757,Альфа-Банк,bank,,,100.0,11205,1562060895,1562026715,,,3,"[ ""primary"" ]","[ ""asphalt"" ]",1,"[ ""Лиговский проспект"" ]","[ ""very_good"" ]",,,342.721,0.342721,4000,60,0.0057120166666666,20.56326,0.000222287589345
"LINESTRING (30.4114121 59.9282464, 30.41151008035444 59.928658177383475)",node,444776759,Альфа-Банк,bank,,,76.0,11392,1574337186,1901116637,,,1,"[ ""secondary_link"" ]","[ ""asphalt"" ]",1,"[ ""Заневская площадь"" ]","[ ""very_good"" ]",,,50.118,0.050118,1800,60,0.0008353,3.00708,0.0004232738633542
"LINESTRING (30.6889863 59.8975734, 30.6629963 59.7854536)",node,445388334,Горка,cafe,,,,13951,1837292066,1187578946,,,1,"[ ""residential"" ]",,0,,,,,198.36,0.19836,1800,60,0.003306,11.9016,0.115092700255231
"LINESTRING (30.6889863 59.8975734, 30.6629963 59.7854536)",node,445388334,Горка,cafe,,,,8307,1187578946,1837292066,,,1,"[ ""residential"" ]",,0,,,,,198.36,0.19836,1800,60,0.003306,11.9016,0.115092700255231
"LINESTRING (30.6892413 59.8975971, 30.6629963 59.7854536)",node,445388335,Минимаркет,,,convenience,,13951,1837292066,1187578946,,,1,"[ ""residential"" ]",,0,,,,,198.36,0.19836,1800,60,0.003306,11.9016,0.115173628132704
"LINESTRING (30.6892413 59.8975971, 30.6629963 59.7854536)",node,445388335,Минимаркет,,,convenience,,8307,1187578946,1837292066,,,1,"[ ""residential"" ]",,0,,,,,198.36,0.19836,1800,60,0.003306,11.9016,0.115173628132704
"LINESTRING (30.3469291 59.9180664, 30.347032848897324 59.91782573145066)",node,446064734,,cafe,,,100.0,4352,411714266,1834821167,,,2,"[ ""residential"" ]","[ ""asphalt"" ]",1,"[ ""улица Печатника Григорьева"" ]",,,,260.231,0.260231,3600,60,0.0043371833333333,15.61386,0.0002620785842768
"LINESTRING (30.3487504 59.9179655, 30.34894718128805 59.917839801492434)",node,446064740,Simple Food Cafe,fast_food,,,100.0,1569,22302435,1834821166,,,2,"[ ""residential"" ]","[ ""asphalt"" ]",1,"[ ""Воронежская улица"" ]","[ ""good"" ]",,,192.541,0.192541,3600,60,0.0032090166666666,11.55246,0.0002335015848581
